date,IGAE,ActividadIndustrial,FBCF
2021-10-01,96.4730861306,95.4646766986,87.8852503769
2021-11-01,97.0996101785,95.9709796544,88.627417778
2021-12-01,97.6278605311,97.1807140955,88.7129154581
2022-01-01,98.2632454576,98.4089442009,91.4285828058
2022-02-01,98.4573874881,98.366170419,91.2793766161
2022-03-01,99.1265740506,99.2976135147,94.4494398622
2022-04-01,99.78036672,99.8830586077,94.5239606638
2022-05-01,99.8065668858,99.6863105419,93.5899192677
2022-06-01,99.4766512171,99.1471657153,93.0001642469
2022-07-01,100.0286731607,99.82114184,92.0285466019
2022-08-01,100.5216601242,100.254132894,94.1856096293
2022-09-01,100.6948593174,99.8356468526,93.6346345847
2022-10-01,101.0940218114,99.8637442577,94.4638523198
2022-11-01,101.659392438,100.9605900675,96.4578540405
2022-12-01,102.5356260233,102.3825894453,99.9769770211
2023-01-01,102.5980201446,101.9297140097,100.541975513
2023-02-01,101.9319837382,101.6105217885,102.2213580197
2023-03-01,101.7197669546,101.629352578,102.6189484371
2023-04-01,102.7338840737,102.1224429738,102.7906680173
2023-05-01,102.9112324015,102.6114966942,105.9997641099
2023-06-01,103.3528525903,103.0327993787,108.3236318916
2023-07-01,103.3749842622,102.9929044187,106.3147546546
2023-08-01,103.7195414556,103.1409697098,108.1877487525
2023-09-01,104.5900175082,103.8062493227,111.2006955066
2023-10-01,104.6198851801,104.8098945018,113.1020118469
2023-11-01,103.8509401665,103.0971962525,110.1985886211
2023-12-01,104.2898592955,103.0304719198,111.6784921116
2024-01-01,104.3230061878,103.6274925154,112.5102800147
2024-02-01,104.6728299396,102.0232763825,112.3998970341
2024-03-01,104.94320153460001,102.6509133292,111.7543923039
2024-04-01,103.5864230564,101.6644914448,112.2308530201
2024-05-01,104.4319579798,101.8538552919,111.9004026467
2024-06-01,104.5894114656,102.1153649002,110.8358725938
2024-07-01,105.6396875743,102.7168721376,113.469361331
2024-08-01,104.7616685758,102.2381835408,112.4294840666
2024-09-01,105.0199275173,102.8669482902,110.9568909127
2024-10-01,104.0142900474,101.1286183306,109.2742247498
2024-11-01,104.5047662287,101.3149038296,109.7640740047
2024-12-01,103.5336239482,100.0972769627,106.0682961135
2025-01-01,104.2945034375,100.3271778563,105.1871517502
2025-02-01,105.2834769376,102.1030295338,105.9880970954
2025-03-01,104.9759992981,101.7186703655,106.1758814482
2025-04-01,104.679834425,100.6912368995,102.3324286055
2025-05-01,104.8777490968,101.6585805914,104.7819454694
2025-06-01,105.0525166923,101.2818051823,102.6993778742
2025-07-01,104.4744154323,100.1185497065,104.7876447108
2025-08-01,104.9705865002,100.0104635612,101.896943359
2025-09-01,104.5118062496,99.8751175936,101.9853668518
2025-10-01,105.5346248861,100.6907862646,102.9932620053
2025-11-01,105.4436275151,101.304239214,103.571704492
2025-12-01,105.8587292674,101.429791885,104.0200602911
2026-01-01,104.7896722553,100.4751407547,103.0605429506
2026-02-01,105.083788772,100.9851548617,102.7026960723
2026-03-01,105.5937629351,100.43403796,103.355682379
2026-04-01,107.3299514715,102.5471029079,107.7697250793
2026-05-01,106.8538775695,101.8471113921,107.2878818744
2026-06-01,106.7913751502,102.0773318562,108.7359934718
2026-07-01,,102.5367509347,
